Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Tipus_Vehicles,Antiguitat,Nombre
2023,01,Ciutat Vella,01,el Raval,001,Turismes,Moins d'un an,11
2023,01,Ciutat Vella,01,el Raval,001,Turismes,1 an,15
2023,01,Ciutat Vella,01,el Raval,001,Turismes,2 ans,14
2023,01,Ciutat Vella,01,el Raval,001,Turismes,3 ans,13
2023,01,Ciutat Vella,01,el Raval,001,Turismes,4 ans,27
2023,01,Ciutat Vella,01,el Raval,001,Turismes,5 ans,16
2023,01,Ciutat Vella,01,el Raval,001,Turismes,6 ans,18
2023,01,Ciutat Vella,01,el Raval,001,Turismes,7 ans,15
2023,01,Ciutat Vella,01,el Raval,001,Turismes,8 ans,19
2023,01,Ciutat Vella,01,el Raval,001,Turismes,9 ans,8
2023,01,Ciutat Vella,01,el Raval,001,Turismes,10 ans,7
2023,01,Ciutat Vella,01,el Raval,001,Turismes,De 11 a 20 ans,113
2023,01,Ciutat Vella,01,el Raval,001,Turismes,Plus de 20 ans,84
2023,01,Ciutat Vella,01,el Raval,001,Motos,Moins d'un an,11
2023,01,Ciutat Vella,01,el Raval,001,Motos,1 an,17
2023,01,Ciutat Vella,01,el Raval,001,Motos,2 ans,8
2023,01,Ciutat Vella,01,el Raval,001,Motos,3 ans,10
2023,01,Ciutat Vella,01,el Raval,001,Motos,4 ans,10
2023,01,Ciutat Vella,01,el Raval,001,Motos,5 ans,2
2023,01,Ciutat Vella,01,el Raval,001,Motos,6 ans,5
2023,01,Ciutat Vella,01,el Raval,001,Motos,7 ans,5
2023,01,Ciutat Vella,01,el Raval,001,Motos,8 ans,5
2023,01,Ciutat Vella,01,el Raval,001,Motos,9 ans,6
2023,01,Ciutat Vella,01,el Raval,001,Motos,10 ans,2
2023,01,Ciutat Vella,01,el Raval,001,Motos,De 11 a 20 ans,51
2023,01,Ciutat Vella,01,el Raval,001,Motos,Plus de 20 ans,18
2023,01,Ciutat Vella,01,el Raval,001,Ciclomotors,3 ans,332
2023,01,Ciutat Vella,01,el Raval,001,Ciclomotors,7 ans,1
2023,01,Ciutat Vella,01,el Raval,001,Ciclomotors,8 ans,1
2023,01,Ciutat Vella,01,el Raval,001,Ciclomotors,10 ans,1
2023,01,Ciutat Vella,01,el Raval,001,Ciclomotors,De 11 a 20 ans,17
2023,01,Ciutat Vella,01,el Raval,001,Ciclomotors,Plus de 20 ans,10
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,Moins d'un an,1
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,1 an,1
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,3 ans,2
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,4 ans,1
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,5 ans,2
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,7 ans,3
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,8 ans,2
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,9 ans,4
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,De 11 a 20 ans,17
2023,01,Ciutat Vella,01,el Raval,001,Furgonetes,Plus de 20 ans,6
2023,01,Ciutat Vella,01,el Raval,001,Camions,Moins d'un an,2
2023,01,Ciutat Vella,01,el Raval,001,Camions,1 an,6
2023,01,Ciutat Vella,01,el Raval,001,Camions,4 ans,9
2023,01,Ciutat Vella,01,el Raval,001,Camions,5 ans,1
2023,01,Ciutat Vella,01,el Raval,001,Camions,6 ans,1
2023,01,Ciutat Vella,01,el Raval,001,Camions,7 ans,1
2023,01,Ciutat Vella,01,el Raval,001,Camions,De 11 a 20 ans,8
2023,01,Ciutat Vella,01,el Raval,001,Camions,Plus de 20 ans,11
2023,01,Ciutat Vella,01,el Raval,001,Altres vehicles,1 an,1
2023,01,Ciutat Vella,01,el Raval,001,Altres vehicles,3 ans,2
2023,01,Ciutat Vella,01,el Raval,001,Altres vehicles,4 ans,8
2023,01,Ciutat Vella,01,el Raval,001,Altres vehicles,5 ans,3
2023,01,Ciutat Vella,01,el Raval,001,Altres vehicles,6 ans,10
2023,01,Ciutat Vella,01,el Raval,001,Altres vehicles,7 ans,8
2023,01,Ciutat Vella,01,el Raval,001,Altres vehicles,8 ans,1
2023,01,Ciutat Vella,01,el Raval,001,Altres vehicles,9 ans,4
