Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Tipus_Propulsio,Nombre
2023,01,Ciutat Vella,01,el Raval,001,CombustiÃ³ Interna-Gasolina,319
2023,01,Ciutat Vella,01,el Raval,001,CombustiÃ³ Interna-Gasoil,245
2023,01,Ciutat Vella,01,el Raval,001,Elèctrica,22
2023,01,Ciutat Vella,01,el Raval,001,Híbrid,360
2023,01,Ciutat Vella,01,el Raval,001,Altres,96
2023,01,Ciutat Vella,01,el Raval,001,No consta,5
2023,01,Ciutat Vella,01,el Raval,002,CombustiÃ³ Interna-Gasolina,296
2023,01,Ciutat Vella,01,el Raval,002,CombustiÃ³ Interna-Gasoil,112
2023,01,Ciutat Vella,01,el Raval,002,Elèctrica,2
2023,01,Ciutat Vella,01,el Raval,002,Híbrid,7
2023,01,Ciutat Vella,01,el Raval,002,Altres,4
2023,01,Ciutat Vella,01,el Raval,002,No consta,3
2023,01,Ciutat Vella,01,el Raval,003,CombustiÃ³ Interna-Gasolina,474
2023,01,Ciutat Vella,01,el Raval,003,CombustiÃ³ Interna-Gasoil,264
2023,01,Ciutat Vella,01,el Raval,003,Elèctrica,2
2023,01,Ciutat Vella,01,el Raval,003,Híbrid,33
2023,01,Ciutat Vella,01,el Raval,003,Altres,8
2023,01,Ciutat Vella,01,el Raval,003,No consta,3
2023,01,Ciutat Vella,01,el Raval,004,CombustiÃ³ Interna-Gasolina,521
2023,01,Ciutat Vella,01,el Raval,004,CombustiÃ³ Interna-Gasoil,239
2023,01,Ciutat Vella,01,el Raval,004,Elèctrica,4
2023,01,Ciutat Vella,01,el Raval,004,Híbrid,32
2023,01,Ciutat Vella,01,el Raval,004,Altres,10
2023,01,Ciutat Vella,01,el Raval,004,No consta,4
2023,01,Ciutat Vella,01,el Raval,005,CombustiÃ³ Interna-Gasolina,438
2023,01,Ciutat Vella,01,el Raval,005,CombustiÃ³ Interna-Gasoil,187
2023,01,Ciutat Vella,01,el Raval,005,Elèctrica,5
2023,01,Ciutat Vella,01,el Raval,005,Híbrid,23
2023,01,Ciutat Vella,01,el Raval,005,Altres,7
2023,01,Ciutat Vella,01,el Raval,005,No consta,5
2023,01,Ciutat Vella,01,el Raval,006,CombustiÃ³ Interna-Gasolina,292
2023,01,Ciutat Vella,01,el Raval,006,CombustiÃ³ Interna-Gasoil,121
2023,01,Ciutat Vella,01,el Raval,006,Híbrid,15
2023,01,Ciutat Vella,01,el Raval,006,Altres,4
2023,01,Ciutat Vella,01,el Raval,006,No consta,3
2023,01,Ciutat Vella,01,el Raval,007,CombustiÃ³ Interna-Gasolina,297
2023,01,Ciutat Vella,01,el Raval,007,CombustiÃ³ Interna-Gasoil,172
2023,01,Ciutat Vella,01,el Raval,007,Elèctrica,5
2023,01,Ciutat Vella,01,el Raval,007,Híbrid,18
2023,01,Ciutat Vella,01,el Raval,007,Altres,3
2023,01,Ciutat Vella,01,el Raval,007,No consta,4
2023,01,Ciutat Vella,01,el Raval,008,CombustiÃ³ Interna-Gasolina,407
2023,01,Ciutat Vella,01,el Raval,008,CombustiÃ³ Interna-Gasoil,204
2023,01,Ciutat Vella,01,el Raval,008,Elèctrica,1
2023,01,Ciutat Vella,01,el Raval,008,Híbrid,33
2023,01,Ciutat Vella,01,el Raval,008,Altres,5
2023,01,Ciutat Vella,01,el Raval,008,No consta,3
2023,01,Ciutat Vella,01,el Raval,009,CombustiÃ³ Interna-Gasolina,318
2023,01,Ciutat Vella,01,el Raval,009,CombustiÃ³ Interna-Gasoil,164
2023,01,Ciutat Vella,01,el Raval,009,Elèctrica,1
2023,01,Ciutat Vella,01,el Raval,009,Híbrid,17
2023,01,Ciutat Vella,01,el Raval,009,Altres,6
2023,01,Ciutat Vella,01,el Raval,009,No consta,2
2023,01,Ciutat Vella,01,el Raval,010,CombustiÃ³ Interna-Gasolina,304
2023,01,Ciutat Vella,01,el Raval,010,CombustiÃ³ Interna-Gasoil,171
2023,01,Ciutat Vella,01,el Raval,010,Elèctrica,2
2023,01,Ciutat Vella,01,el Raval,010,Híbrid,24
2023,01,Ciutat Vella,01,el Raval,010,Altres,4
2023,01,Ciutat Vella,01,el Raval,010,No consta,1
2023,01,Ciutat Vella,01,el Raval,011,CombustiÃ³ Interna-Gasolina,445
2023,01,Ciutat Vella,01,el Raval,011,CombustiÃ³ Interna-Gasoil,221
2023,01,Ciutat Vella,01,el Raval,011,Elèctrica,5
2023,01,Ciutat Vella,01,el Raval,011,Híbrid,20
2023,01,Ciutat Vella,01,el Raval,011,No consta,3
2023,01,Ciutat Vella,01,el Raval,012,CombustiÃ³ Interna-Gasolina,304
2023,01,Ciutat Vella,01,el Raval,012,CombustiÃ³ Interna-Gasoil,124
2023,01,Ciutat Vella,01,el Raval,012,Elèctrica,1
2023,01,Ciutat Vella,01,el Raval,012,Híbrid,14
2023,01,Ciutat Vella,01,el Raval,012,Altres,2
2023,01,Ciutat Vella,01,el Raval,013,CombustiÃ³ Interna-Gasolina,207
2023,01,Ciutat Vella,01,el Raval,013,CombustiÃ³ Interna-Gasoil,92
2023,01,Ciutat Vella,01,el Raval,013,Elèctrica,4
2023,01,Ciutat Vella,01,el Raval,013,Híbrid,18
2023,01,Ciutat Vella,01,el Raval,013,Altres,4
2023,01,Ciutat Vella,01,el Raval,014,CombustiÃ³ Interna-Gasolina,234
2023,01,Ciutat Vella,01,el Raval,014,CombustiÃ³ Interna-Gasoil,106
2023,01,Ciutat Vella,01,el Raval,014,Elèctrica,4
2023,01,Ciutat Vella,01,el Raval,014,Híbrid,16
2023,01,Ciutat Vella,01,el Raval,014,Altres,7
2023,01,Ciutat Vella,01,el Raval,014,No consta,3
2023,01,Ciutat Vella,01,el Raval,015,CombustiÃ³ Interna-Gasolina,304
2023,01,Ciutat Vella,01,el Raval,015,CombustiÃ³ Interna-Gasoil,137
2023,01,Ciutat Vella,01,el Raval,015,Elèctrica,3
2023,01,Ciutat Vella,01,el Raval,015,Híbrid,16
2023,01,Ciutat Vella,01,el Raval,015,Altres,21
2023,01,Ciutat Vella,01,el Raval,015,No consta,2
2023,01,Ciutat Vella,01,el Raval,016,CombustiÃ³ Interna-Gasolina,273
2023,01,Ciutat Vella,01,el Raval,016,CombustiÃ³ Interna-Gasoil,92
2023,01,Ciutat Vella,01,el Raval,016,Elèctrica,3
2023,01,Ciutat Vella,01,el Raval,016,Híbrid,7
2023,01,Ciutat Vella,01,el Raval,016,Altres,3
2023,01,Ciutat Vella,01,el Raval,016,No consta,1
2023,01,Ciutat Vella,01,el Raval,017,CombustiÃ³ Interna-Gasolina,375
2023,01,Ciutat Vella,01,el Raval,017,CombustiÃ³ Interna-Gasoil,101
2023,01,Ciutat Vella,01,el Raval,017,Elèctrica,2
2023,01,Ciutat Vella,01,el Raval,017,Híbrid,24
2023,01,Ciutat Vella,01,el Raval,017,Altres,3
2023,01,Ciutat Vella,01,el Raval,017,No consta,7
2023,01,Ciutat Vella,01,el Raval,018,CombustiÃ³ Interna-Gasolina,258
2023,01,Ciutat Vella,01,el Raval,018,CombustiÃ³ Interna-Gasoil,101
2023,01,Ciutat Vella,01,el Raval,018,Elèctrica,40
2023,01,Ciutat Vella,01,el Raval,018,Híbrid,6
2023,01,Ciutat Vella,01,el Raval,018,Altres,5
2023,01,Ciutat Vella,01,el Raval,018,No consta,1
2023,01,Ciutat Vella,01,el Raval,019,CombustiÃ³ Interna-Gasolina,420
2023,01,Ciutat Vella,01,el Raval,019,CombustiÃ³ Interna-Gasoil,213
2023,01,Ciutat Vella,01,el Raval,019,Elèctrica,1
2023,01,Ciutat Vella,01,el Raval,019,Híbrid,18
2023,01,Ciutat Vella,01,el Raval,019,Altres,4
2023,01,Ciutat Vella,01,el Raval,019,No consta,3
2023,01,Ciutat Vella,01,el Raval,020,CombustiÃ³ Interna-Gasolina,415
2023,01,Ciutat Vella,01,el Raval,020,CombustiÃ³ Interna-Gasoil,158
2023,01,Ciutat Vella,01,el Raval,020,Elèctrica,8
2023,01,Ciutat Vella,01,el Raval,020,Híbrid,19
2023,01,Ciutat Vella,01,el Raval,020,Altres,5
2023,01,Ciutat Vella,01,el Raval,021,CombustiÃ³ Interna-Gasolina,479
2023,01,Ciutat Vella,01,el Raval,021,CombustiÃ³ Interna-Gasoil,202
2023,01,Ciutat Vella,01,el Raval,021,Elèctrica,6
2023,01,Ciutat Vella,01,el Raval,021,Híbrid,35
2023,01,Ciutat Vella,01,el Raval,021,Altres,32
2023,01,Ciutat Vella,01,el Raval,021,No consta,2
2023,01,Ciutat Vella,02,el Barri GÃ²tic,022,CombustiÃ³ Interna-Gasolina,362
2023,01,Ciutat Vella,02,el Barri GÃ²tic,022,CombustiÃ³ Interna-Gasoil,127
2023,01,Ciutat Vella,02,el Barri GÃ²tic,022,Elèctrica,6
2023,01,Ciutat Vella,02,el Barri GÃ²tic,022,Híbrid,21
2023,01,Ciutat Vella,02,el Barri GÃ²tic,022,Altres,5
2023,01,Ciutat Vella,02,el Barri GÃ²tic,022,No consta,1
2023,01,Ciutat Vella,02,el Barri GÃ²tic,023,CombustiÃ³ Interna-Gasolina,503
2023,01,Ciutat Vella,02,el Barri GÃ²tic,023,CombustiÃ³ Interna-Gasoil,248
2023,01,Ciutat Vella,02,el Barri GÃ²tic,023,Elèctrica,9
2023,01,Ciutat Vella,02,el Barri GÃ²tic,023,Híbrid,41
2023,01,Ciutat Vella,02,el Barri GÃ²tic,023,Altres,8
