Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Tipus_Propulsio,Nombre
2023,01,Ciutat Vella,01,el Raval,001,Combustion Essence,319
2023,01,Ciutat Vella,01,el Raval,001,Combustion Diesel,245
2023,01,Ciutat Vella,01,el Raval,001,Elèctrica,22
2023,01,Ciutat Vella,01,el Raval,001,Hybride,360
2023,01,Ciutat Vella,01,el Raval,001,Autres,96
2023,01,Ciutat Vella,01,el Raval,002,Combustion Essence,296
2023,01,Ciutat Vella,01,el Raval,002,Combustion Diesel,112
2023,01,Ciutat Vella,01,el Raval,002,Elèctrica,2
2023,01,Ciutat Vella,01,el Raval,002,Hybride,7
2023,01,Ciutat Vella,01,el Raval,002,Autres,4
2023,01,Ciutat Vella,01,el Raval,003,Combustion Essence,474
2023,01,Ciutat Vella,01,el Raval,003,Combustion Diesel,264
2023,01,Ciutat Vella,01,el Raval,003,Elèctrica,2
2023,01,Ciutat Vella,01,el Raval,003,Hybride,33
2023,01,Ciutat Vella,01,el Raval,003,Autres,8
2023,01,Ciutat Vella,01,el Raval,004,Combustion Essence,521
2023,01,Ciutat Vella,01,el Raval,004,Combustion Diesel,239
2023,01,Ciutat Vella,01,el Raval,004,Elèctrica,4
2023,01,Ciutat Vella,01,el Raval,004,Hybride,32
2023,01,Ciutat Vella,01,el Raval,004,Autres,10
2023,01,Ciutat Vella,01,el Raval,005,Combustion Essence,438
2023,01,Ciutat Vella,01,el Raval,005,Combustion Diesel,187
2023,01,Ciutat Vella,01,el Raval,005,Elèctrica,5
2023,01,Ciutat Vella,01,el Raval,005,Hybride,23
2023,01,Ciutat Vella,01,el Raval,005,Autres,7
2023,01,Ciutat Vella,01,el Raval,006,Combustion Essence,292
2023,01,Ciutat Vella,01,el Raval,006,Combustion Diesel,121
2023,01,Ciutat Vella,01,el Raval,006,Hybride,15
2023,01,Ciutat Vella,01,el Raval,006,Autres,4
2023,01,Ciutat Vella,01,el Raval,007,Combustion Essence,297
2023,01,Ciutat Vella,01,el Raval,007,Combustion Diesel,172
2023,01,Ciutat Vella,01,el Raval,007,Elèctrica,5
2023,01,Ciutat Vella,01,el Raval,007,Hybride,18
2023,01,Ciutat Vella,01,el Raval,007,Autres,3
2023,01,Ciutat Vella,01,el Raval,008,Combustion Essence,407
2023,01,Ciutat Vella,01,el Raval,008,Combustion Diesel,204
2023,01,Ciutat Vella,01,el Raval,008,Elèctrica,1
2023,01,Ciutat Vella,01,el Raval,008,Hybride,33
2023,01,Ciutat Vella,01,el Raval,008,Autres,5
2023,01,Ciutat Vella,01,el Raval,009,Combustion Essence,318
2023,01,Ciutat Vella,01,el Raval,009,Combustion Diesel,164
2023,01,Ciutat Vella,01,el Raval,009,Elèctrica,1
2023,01,Ciutat Vella,01,el Raval,009,Hybride,17
2023,01,Ciutat Vella,01,el Raval,009,Autres,6
2023,01,Ciutat Vella,01,el Raval,010,Combustion Essence,304
2023,01,Ciutat Vella,01,el Raval,010,Combustion Diesel,171
2023,01,Ciutat Vella,01,el Raval,010,Elèctrica,2
2023,01,Ciutat Vella,01,el Raval,010,Hybride,24
2023,01,Ciutat Vella,01,el Raval,010,Autres,4
2023,01,Ciutat Vella,01,el Raval,011,Combustion Essence,445
2023,01,Ciutat Vella,01,el Raval,011,Combustion Diesel,221
2023,01,Ciutat Vella,01,el Raval,011,Elèctrica,5
2023,01,Ciutat Vella,01,el Raval,011,Hybride,20
2023,01,Ciutat Vella,01,el Raval,012,Combustion Essence,304
2023,01,Ciutat Vella,01,el Raval,012,Combustion Diesel,124
2023,01,Ciutat Vella,01,el Raval,012,Elèctrica,1
2023,01,Ciutat Vella,01,el Raval,012,Hybride,14
2023,01,Ciutat Vella,01,el Raval,012,Autres,2
2023,01,Ciutat Vella,01,el Raval,013,Combustion Essence,207
2023,01,Ciutat Vella,01,el Raval,013,Combustion Diesel,92
2023,01,Ciutat Vella,01,el Raval,013,Elèctrica,4
2023,01,Ciutat Vella,01,el Raval,013,Hybride,18
2023,01,Ciutat Vella,01,el Raval,013,Autres,4
2023,01,Ciutat Vella,01,el Raval,014,Combustion Essence,234
2023,01,Ciutat Vella,01,el Raval,014,Combustion Diesel,106
2023,01,Ciutat Vella,01,el Raval,014,Elèctrica,4
2023,01,Ciutat Vella,01,el Raval,014,Hybride,16
2023,01,Ciutat Vella,01,el Raval,014,Autres,7
2023,01,Ciutat Vella,01,el Raval,015,Combustion Essence,304
2023,01,Ciutat Vella,01,el Raval,015,Combustion Diesel,137
2023,01,Ciutat Vella,01,el Raval,015,Elèctrica,3
2023,01,Ciutat Vella,01,el Raval,015,Hybride,16
2023,01,Ciutat Vella,01,el Raval,015,Autres,21
2023,01,Ciutat Vella,01,el Raval,016,Combustion Essence,273
2023,01,Ciutat Vella,01,el Raval,016,Combustion Diesel,92
2023,01,Ciutat Vella,01,el Raval,016,Elèctrica,3
2023,01,Ciutat Vella,01,el Raval,016,Hybride,7
